global,Reconstruction Year,Reconstruction Obs,Satellite Altimetry Year,Satellite Altimetry,Quadratic Fit Year,Quadratic Fit,Units,,Process,"Percentage Contribution, 1993 to Present"
global,1970.5,-56.83988,1993,-35.61728,1993,-29.013736,mm,,Sterodynamic,40
global,1971.5,-56.445915,1993.0834,-39.441712,1993.0834,-28.845279,mm,,Glaciers,20
global,1972.5,-53.820293,1993.1666,-35.65804,1993.1666,-28.676359,mm,,Greenland Ice Sheet,20
global,1973.5,-56.33513,1993.25,-39.433822,1993.25,-28.50698,mm,,Antarctic Ice Sheet,10
global,1974.5,-58.32233,1993.3334,-38.423833,1993.3334,-28.337136,mm,,Terrestrial Water Storage,10
global,1975.5,-57.72208,1993.4166,-39.89102,1993.4166,-28.16683,mm,,,
global,1976.5,-54.343227,1993.5,-35.160404,1993.5,-27.996063,mm,,,
global,1977.5,-52.348737,1993.5834,-34.231108,1993.5834,-27.824834,mm,,,
global,1978.5,-56.2283,1993.6666,-28.183969,1993.6666,-27.653143,mm,,,
global,1979.5,-52.913226,1993.75,-26.079463,1993.75,-27.480992,mm,,,
global,1980.5,-48.424784,1993.8334,-25.475688,1993.8334,-27.308377,mm,,,
global,1981.5,-50.63775,1993.9166,-27.251806,1993.9166,-27.1353,mm,,,
global,1982.5,-47.363296,1994,-27.953614,1994,-26.96176,mm,,,
global,1983.5,-45.026876,1994.0834,-31.72786,1994.0834,-26.787762,mm,,,
global,1984.5,-43.395318,1994.1666,-31.941313,1994.1666,-26.613299,mm,,,
global,1985.5,-43.696985,1994.25,-31.528343,1994.25,-26.438374,mm,,,
global,1986.5,-43.439955,1994.3334,-35.274796,1994.3334,-26.262987,mm,,,
global,1987.5,-37.3481,1994.4166,-35.71688,1994.4166,-26.08714,mm,,,
global,1988.5,-38.365833,1994.5,-34.62203,1994.5,-25.91083,mm,,,
global,1989.5,-39.994508,1994.5834,-30.156592,1994.5834,-25.734058,mm,,,
global,1990.5,-36.50404,1994.6666,-24.808668,1994.6666,-25.556825,mm,,,
global,1991.5,-32.271422,1994.75,-21.604946,1994.75,-25.379129,mm,,,
global,1992.5,-28.333122,1994.8334,-19.934323,1994.8334,-25.20097,mm,,,
global,1993.5,-28.141676,1994.9166,-23.289679,1994.9166,-25.022352,mm,,,
global,1994.5,-26.463741,1995,-22.323372,1995,-24.84327,mm,,,
