#  Contiguous U.S. July Average Temperature
# Units: Degrees Fahrenheit
Date,Value
189507,71.22
189607,73.65
189707,73.33
189807,73.26
189907,73.04
190007,73.11
190107,76.23
190207,72.01
190307,71.91
190407,71.33
190507,71.96
190607,72.34
190707,72.48
190807,73.17
190907,72.61
191007,74.1
191107,72.64
191207,72.23
191307,72.99
191407,74.07
191507,70.99
191607,74.26
191707,74.59
191807,72.41
191907,74.34
192007,72.68
192107,74.64
192207,72.99
192307,73.74
192407,71.85
192507,74.12
192607,73.33
192707,72.66
192807,73.36
192907,73.58
193007,75
193107,75.78
193207,74.07
193307,75.11
193407,76.35
193507,75.11
193607,76.77
193707,74.57
193807,73.74
193907,74.84
194007,74.12
194107,73.96
194207,73.94
194307,74.25
194407,72.77
194507,72.91
194607,73.83
194707,72.77
194807,73.22
194907,74.19
195007,71.2
195107,73.67
195207,74.07
195307,74.14
195407,75.45
195507,74.43
195607,73.04
195707,74.25
195807,72.59
195907,73.56
196007,73.87
196107,73.22
196207,72.05
196307,73.58
196407,74.64
196507,72.57
196607,75.04
196707,72.5
196807,72.84
196907,74.07
197007,73.94
197107,72.34
197207,72.16
197307,73.24
197407,74.07
197507,73.53
197607,72.88
197707,74.41
197807,73.78
197907,73.11
198007,75.72
198107,73.92
198207,73.18
198307,73.96
198407,73.15
198507,74.03
198607,73.49
198707,73.24
198807,74.77
198907,74.19
199007,73.24
199107,73.87
199207,71.2
199307,72.12
199407,73.6
199507,73.53
199607,73.62
199707,73.17
199807,75.45
199907,74.28
200007,73.85
200107,74.44
200207,75.83
200307,75.43
200407,72.88
200507,75.29
200607,76.39
200707,74.68
200807,74.05
200907,72.61
201007,74.7
201107,76.12
201207,76.73
201307,74.19
201407,73.27
201507,73.89
201607,75.2
201707,75.69
201807,75.43
201907,74.59
202007,75.63
202107,75.4
202207,76.39
202307,75.65
202407,75.69
202507,75.4
